,USAF,YR--MODAHRMN,TEMP,MAX,MIN
8776,29980,201705010600,6.7,44.0,35.0
8788,29980,201705011800,8.9,54.0,43.0
8800,29980,201705020600,10.0,50.0,34.0
8812,29980,201705021800,11.7,61.0,49.0
8824,29980,201705030600,8.3,53.0,38.0
8836,29980,201705031800,10.6,57.0,47.0
8848,29980,201705040600,7.2,51.0,37.0
8860,29980,201705041800,6.7,52.0,44.0
8872,29980,201705050600,7.2,45.0,35.0
8884,29980,201705051800,14.4,64.0,45.0
8896,29980,201705060600,12.2,59.0,44.0
8908,29980,201705061800,11.1,59.0,52.0
8920,29980,201705070600,6.1,52.0,36.0
8932,29980,201705071800,5.6,50.0,42.0
8944,29980,201705080600,5.0,42.0,38.0
8956,29980,201705081800,3.3,47.0,37.0
8968,29980,201705090600,2.8,38.0,33.0
8980,29980,201705091800,2.2,41.0,34.0
8992,29980,201705100600,3.9,39.0,28.0
9004,29980,201705101800,2.2,42.0,33.0
9016,29980,201705110600,3.3,38.0,28.0
9028,29980,201705111800,4.4,46.0,38.0
9040,29980,201705120600,4.4,41.0,29.0
9052,29980,201705121800,8.3,52.0,40.0
9064,29980,201705130600,8.3,47.0,33.0
9076,29980,201705131800,7.2,56.0,44.0
9088,29980,201705140600,9.4,49.0,36.0
9100,29980,201705141800,11.1,58.0,49.0
9112,29980,201705150600,8.9,52.0,47.0
9124,29980,201705151800,7.8,59.0,46.0
9136,29980,201705160600,5.0,46.0,32.0
9147,29980,201705161800,8.9,53.0,42.0
9159,29980,201705170600,9.4,49.0,42.0
9171,29980,201705171800,10.6,56.0,48.0
9183,29980,201705180600,10.0,51.0,47.0
9195,29980,201705181800,11.1,59.0,50.0
9207,29980,201705190600,13.3,56.0,49.0
9219,29980,201705191800,17.2,73.0,56.0
9231,29980,201705200600,17.8,64.0,59.0
9243,29980,201705201800,16.1,71.0,61.0
9255,29980,201705210600,15.0,61.0,49.0
9267,29980,201705211800,15.6,65.0,58.0
