,USAF,YR--MODAHRMN,TEMP,MAX,MIN
18,28450,201705010600,-0.6,34.0,31.0
54,28450,201705011800,5.6,44.0,30.0
90,28450,201705020600,5.0,42.0,35.0
126,28450,201705021800,2.8,45.0,36.0
161,28450,201705030600,2.8,37.0,33.0
197,28450,201705031800,2.8,39.0,37.0
233,28450,201705040600,1.7,37.0,30.0
269,28450,201705041800,6.1,48.0,35.0
305,28450,201705050600,8.9,48.0,39.0
341,28450,201705051800,5.0,54.0,41.0
377,28450,201705060600,-0.6,41.0,30.0
413,28450,201705061800,0.6,35.0,31.0
449,28450,201705070600,-0.6,33.0,27.0
485,28450,201705071800,-2.2,34.0,28.0
521,28450,201705080600,-1.7,29.0,20.0
556,28450,201705081800,-0.6,35.0,28.0
592,28450,201705090600,-1.1,31.0,27.0
628,28450,201705091800,0.0,39.0,30.0
664,28450,201705100600,-1.1,32.0,27.0
700,28450,201705101800,-0.6,35.0,30.0
736,28450,201705110600,-2.8,31.0,25.0
772,28450,201705111800,0.6,35.0,27.0
808,28450,201705120600,-1.7,33.0,26.0
844,28450,201705121800,1.7,38.0,29.0
880,28450,201705130600,0.0,35.0,27.0
916,28450,201705131800,2.2,37.0,30.0
952,28450,201705140600,1.1,36.0,25.0
988,28450,201705141800,1.7,37.0,34.0
1023,28450,201705150600,-0.6,35.0,27.0
1059,28450,201705151800,4.4,40.0,31.0
1095,28450,201705160600,3.3,40.0,29.0
1131,28450,201705161800,5.0,46.0,38.0
1167,28450,201705170600,2.8,41.0,37.0
1203,28450,201705171800,3.3,38.0,36.0
1239,28450,201705180600,2.8,38.0,34.0
1275,28450,201705181800,5.0,53.0,36.0
1311,28450,201705190600,5.0,42.0,38.0
1347,28450,201705191800,7.8,48.0,41.0
1380,28450,201705200600,4.4,45.0,37.0
1416,28450,201705201800,5.6,45.0,38.0
1452,28450,201705210600,3.9,42.0,35.0
1488,28450,201705211800,8.9,50.0,39.0
1524,28450,201705220600,7.8,48.0,41.0
1560,28450,201705221800,11.1,54.0,45.0
1596,28450,201705230600,7.8,52.0,39.0
1632,28450,201705231800,7.2,48.0,43.0
1668,28450,201705240600,7.2,45.0,34.0
1704,28450,201705241800,12.2,55.0,44.0
1740,28450,201705250600,8.3,53.0,40.0
1776,28450,201705251800,8.9,59.0,47.0
1811,28450,201705260600,3.3,48.0,34.0
1847,28450,201705261800,4.4,44.0,37.0
1883,28450,201705270600,2.8,41.0,31.0
1919,28450,201705271800,4.4,41.0,36.0
1955,28450,201705280600,2.8,40.0,33.0
1991,28450,201705281800,0.6,38.0,33.0
2027,28450,201705290600,4.4,40.0,32.0
2060,28450,201705291800,5.6,44.0,39.0
2096,28450,201705300600,5.0,42.0,31.0
2132,28450,201705301800,7.8,49.0,40.0
2168,28450,201705310600,2.2,45.0,33.0
2204,28450,201705311800,5.6,46.0,36.0
2240,28450,201706010600,1.1,42.0,30.0
2276,28450,201706011800,2.2,44.0,34.0
2312,28450,201706020600,2.2,36.0,32.0
2348,28450,201706021800,3.3,43.0,36.0
2384,28450,201706030600,2.2,38.0,35.0
2420,28450,201706031800,5.0,43.0,35.0
2456,28450,201706040600,2.8,41.0,36.0
2492,28450,201706041800,5.0,43.0,36.0
2528,28450,201706050600,3.9,42.0,35.0
2564,28450,201706051800,10.0,53.0,39.0
2600,28450,201706060600,9.4,51.0,42.0
2636,28450,201706061800,12.2,54.0,48.0
2672,28450,201706070600,13.9,57.0,46.0
2708,28450,201706071800,20.6,69.0,57.0
2744,28450,201706080600,18.9,69.0,54.0
2780,28450,201706081800,21.7,73.0,66.0
2816,28450,201706090600,18.3,71.0,55.0
2852,28450,201706091800,20.6,74.0,65.0
2888,28450,201706100600,17.8,69.0,56.0
2924,28450,201706101800,18.3,70.0,64.0
2960,28450,201706110600,12.8,65.0,50.0
2996,28450,201706111800,11.7,58.0,53.0
3032,28450,201706120600,9.4,53.0,44.0
3068,28450,201706121800,15.6,63.0,49.0
3104,28450,201706130600,11.1,60.0,47.0
3140,28450,201706131800,13.9,59.0,51.0
3176,28450,201706140600,10.6,57.0,44.0
3212,28450,201706141800,17.8,64.0,51.0
3246,28450,201706150600,16.7,64.0,50.0
3282,28450,201706151800,17.8,69.0,62.0
3318,28450,201706160600,15.6,63.0,51.0
3354,28450,201706161800,20.6,71.0,60.0
3390,28450,201706170600,14.4,70.0,55.0
3426,28450,201706171800,18.3,68.0,58.0
3461,28450,201706180600,12.8,65.0,53.0
3497,28450,201706181800,12.2,59.0,54.0
3533,28450,201706190600,11.7,54.0,49.0
3569,28450,201706191800,14.4,61.0,53.0
3605,28450,201706200600,12.2,58.0,45.0
3641,28450,201706201800,11.1,61.0,52.0
3677,28450,201706210600,4.4,52.0,37.0
3713,28450,201706211800,4.4,46.0,39.0
3749,28450,201706220600,3.9,41.0,36.0
3785,28450,201706221800,7.2,47.0,39.0
3821,28450,201706230600,5.6,44.0,41.0
3857,28450,201706231800,10.0,51.0,42.0
3893,28450,201706240600,6.7,50.0,41.0
3929,28450,201706241800,12.2,58.0,44.0
3965,28450,201706250600,13.3,57.0,46.0
4001,28450,201706251800,10.6,60.0,50.0
4037,28450,201706260600,10.6,52.0,49.0
4096,28450,201706270600,11.7,53.0,49.0
4132,28450,201706271800,12.2,58.0,51.0
4168,28450,201706280600,9.4,54.0,47.0
4204,28450,201706281800,12.8,59.0,48.0
4240,28450,201706290600,11.7,55.0,50.0
