Country,Safety_Index,Cost_of_Living_Index,Accommodation_Cost_Index,Food_Cost_Index,Weekly_Budget_USD

Vietnam,85,31,28,15,350

Thailand,84,35,32,18,420

Mexico,78,38,35,20,450

Portugal,92,55,48,30,600

Spain,91,58,52,35,650

Italy,89,60,55,38,700

Greece,88,52,45,28,550

Croatia,90,50,42,25,500

Poland,93,38,30,18,400

Czech Republic,92,45,38,22,480

Hungary,91,35,28,15,380

Romania,89,28,22,12,300

Bulgaria,87,25,20,10,250

Serbia,86,22,18,8,200

Albania,85,20,15,7,150

North Macedonia,84,21,16,8,180

Bosnia and Herzegovina,83,19,14,6,150

Montenegro,88,32,25,12,300

Slovenia,94,58,48,30,600

Austria,96,75,65,45,850

Switzerland,98,90,80,60,1200

Iceland,97,85,75,55,1000

Norway,98,95,85,65,1250

Denmark,99,92,80,60,1100

Sweden,98,88,78,58,1050

Finland,99,86,75,55,1000

Estonia,95,55,48,35,650

Latvia,94,48,40,30,550

Lithuania,93,45,38,28,500

Ireland,96,70,60,40,750

United Kingdom,95,65,55,38,700

Netherlands,97,80,70,50,850

Germany,98,75,65,45,800

France,96,68,60,42,750

Belgium,97,72,62,45,800

Luxembourg,99,100,90,70,1300
