Surgery_Center_ID,Surgeries_Performed,Complication_Rate,Recovery_Time(Days),Patient_Satisfaction,Cost_Per_Surgery
SC001,120,2,5,92,7500
SC002,140,3,6,89,7800
SC003,90,5,7,87,7200
SC004,150,4,5,91,7600
SC005,130,6,8,85,8000
SC006,160,3,6,90,7700
SC007,110,7,9,84,8100
SC008,80,2,5,93,7000
SC009,140,4,6,88,7500
SC010,150,3,5,92,7600
SC011,200,1,3,98,5000
SC012,130,5,7,86,7900
SC013,100,4,6,90,7300
SC014,170,3,5,91,7800
SC015,120,6,8,85,8100
SC016,140,2,5,92,7500
SC017,90,4,7,87,7200
SC018,150,3,6,90,7600
SC019,130,5,7,88,8000
SC020,160,4,6,89,7700
SC021,110,6,9,85,8100
SC022,100,7,8,84,7300
SC023,180,3,4,95,7400
SC024,120,4,6,88,7500
SC025,130,5,7,87,7700
SC026,140,3,5,91,7600
SC027,160,2,4,94,7800
SC028,150,6,8,85,8000
SC029,170,3,6,90,7700
SC030,120,4,6,88,7500
SC031,90,7,9,83,7200
SC032,140,2,5,93,7400
SC033,80,5,7,87,7000
SC034,150,3,6,91,7600
SC035,100,6,8,85,7300
SC036,130,4,5,92,7500
SC037,90,5,7,88,7200
SC038,160,2,5,94,7700
SC039,120,4,6,90,7500
SC040,110,7,9,84,8100
